,Actual Values,Predicted Values
0,3.1,4.58
1,3.9,4.58
2,4.3,4.58
3,4.0,4.58
4,4.2,4.58
5,4.0,4.58
6,4.1,4.58
7,4.0,4.14
8,4.1,4.58
9,2.5,4.58
10,4.3,4.58
11,4.0,4.58
12,4.3,4.58
13,2.9,4.7
14,4.0,4.14
15,2.5,4.58
16,2.5,4.58
17,3.8,4.7
18,4.0,4.58
19,4.2,4.4799999999999995
20,4.1,4.14
21,4.3,4.58
22,4.1,4.24
23,3.7,4.58
24,4.1,4.14
25,4.6,4.7
26,4.3,4.58
27,3.8,4.58
28,3.7,4.58
29,3.5,4.7
30,3.7,4.58
31,5.0,4.58
32,4.2,4.58
33,4.0,4.14
34,4.1,4.58
35,2.0,4.58
36,4.3,4.7
37,4.1,4.58
38,4.4,4.58
39,4.7,4.7
40,4.2,4.58
41,4.5,4.7
42,4.3,4.58
43,4.3,4.14
44,4.1,4.14
45,4.1,4.58
46,4.1,4.4799999999999995
47,4.4,4.7
48,3.5,4.58
49,4.0,4.7
50,3.9,4.58
51,4.0,4.14
52,2.5,4.58
53,4.6,4.7
54,4.0,4.7
55,3.5,4.58
56,4.3,4.58
57,4.2,4.58
58,4.4,4.7
59,4.7,4.7
60,4.2,4.14
61,4.0,4.58
62,4.0,4.58
63,3.9,4.7
64,4.0,4.58
65,3.8,4.7
66,3.9,4.58
67,3.7,4.58
68,4.2,4.4799999999999995
69,4.7,4.66
70,4.1,4.58
71,3.9,4.58
72,3.9,4.58
73,3.1,4.58
74,4.2,4.58
75,4.6,4.7
76,3.9,4.58
77,4.2,4.14
78,4.3,4.58
79,3.8,4.4799999999999995
80,4.7,4.7
81,4.6,4.7
82,3.7,4.58
83,4.7,4.58
84,4.2,4.14
85,4.0,4.14
86,4.1,4.4799999999999995
87,4.2,4.24
