Actual values,Predicted Values
3.1,3.4044669268955987
3.9,3.8309683864943964
4.3,4.409437078136342
4.0,4.003486226687584
4.2,4.010178342767411
4.0,4.123776883416189
4.1,4.118356656468797
4.0,4.069665142904537
4.1,3.9690710671399914
2.5,2.5313546157596645
4.3,3.9683480476360393
4.0,3.7749629022210507
4.3,4.166511004361626
2.9,3.7161969275833755
4.0,4.073425155759622
2.5,2.1547653246481393
2.5,2.554128059105701
3.8,4.1477358625024054
4.0,3.854377095230674
4.2,4.148194226016286
4.1,4.098081217794339
4.3,4.079935100933853
4.1,4.072398621609106
3.7,4.06598855257792
4.1,4.195592470689432
4.6,4.538054349534213
4.3,3.457063695857299
3.8,4.030366460989779
3.7,4.052936398648978
3.5,4.089234012994942
3.7,4.06598855257792
5.0,3.95170764506902
4.2,4.1291622898165725
4.0,4.184899993987122
4.1,4.11921408352208
2.0,3.5477025732459095
4.3,4.311568009777216
4.1,4.158852335079848
4.4,4.316973671953318
4.7,4.447282124142094
4.2,4.038971546783502
4.5,4.5570350669074795
4.3,4.148908644529302
4.3,4.205262355912095
4.1,4.073425155759622
4.1,4.106421732034875
4.1,4.139240256113265
4.4,4.085256567749989
3.5,3.8428689350663525
4.0,4.394345520888314
3.9,3.635025465346789
4.0,4.096291501744862
2.5,2.5460773933563647
4.6,4.538054349534213
4.0,4.330928402663285
3.5,3.8320172258862644
4.3,4.017330156264885
4.2,3.8663305840086455
4.4,4.516036125018194
4.7,4.554562217590502
4.2,4.144552346586597
4.0,3.623153378168355
4.0,4.2264894910357125
3.9,4.081201067576788
4.0,4.09383068027317
3.8,4.10088170547635
3.9,3.981588183576835
3.7,4.413641597825353
4.2,4.18777992837739
4.7,4.4673271690197875
4.1,4.110198422714137
3.9,4.065748462486342
3.9,3.730783177434439
3.1,3.7905807643343232
4.2,4.175491648358369
4.6,4.62960215311493
3.9,4.246910538779397
4.2,4.088203347401616
4.3,4.3279729394762265
3.8,3.9423243813278375
4.7,4.883378990528936
4.6,4.538054349534213
3.7,4.138001573969139
4.7,4.215954186327064
4.2,4.161595839902322
4.0,4.051225996533067
4.1,4.08613261378217
4.2,4.137672261243352
