,Actual Values,Predicted Values
0,3.1,3.439999999999999
1,3.9,3.763
2,4.3,4.277000000000005
3,4.0,4.047000000000004
4,4.2,4.085000000000003
5,4.0,4.148000000000002
6,4.1,4.160000000000002
7,4.0,4.003000000000001
8,4.1,4.024999999999999
9,2.5,2.5
10,4.3,4.027999999999999
11,4.0,3.640000000000003
12,4.3,4.011000000000002
13,2.9,3.7670000000000003
14,4.0,4.118999999999999
15,2.5,2.5
16,2.5,2.5
17,3.8,3.927000000000001
18,4.0,3.6570000000000022
19,4.2,4.180999999999999
20,4.1,4.0910000000000055
21,4.3,4.069000000000002
22,4.1,4.093000000000005
23,3.7,3.9959999999999987
24,4.1,4.239999999999999
25,4.6,4.5970000000000075
26,4.3,3.3579999999999983
27,3.8,4.001000000000002
28,3.7,3.891
29,3.5,4.110999999999999
30,3.7,3.881999999999999
31,5.0,3.943
32,4.2,4.206999999999996
33,4.0,4.161
34,4.1,4.207000000000002
35,2.0,3.347999999999997
36,4.3,4.205000000000003
37,4.1,4.044000000000003
38,4.4,4.397999999999997
39,4.7,4.519999999999995
40,4.2,4.043000000000001
41,4.5,4.525000000000005
42,4.3,4.151000000000002
43,4.3,4.138000000000002
44,4.1,4.074000000000002
45,4.1,4.137000000000001
46,4.1,4.077999999999999
47,4.4,4.019000000000002
48,3.5,3.7540000000000027
49,4.0,4.531000000000001
50,3.9,3.638999999999998
51,4.0,4.1140000000000025
52,2.5,2.5
53,4.6,4.582000000000007
54,4.0,4.405999999999997
55,3.5,3.7560000000000042
56,4.3,3.8400000000000016
57,4.2,3.9259999999999997
58,4.4,4.541000000000001
59,4.7,4.545999999999998
60,4.2,4.156999999999999
61,4.0,3.6439999999999992
62,4.0,4.348999999999998
63,3.9,4.036999999999999
64,4.0,4.101000000000001
65,3.8,3.986000000000004
66,3.9,3.931000000000001
67,3.7,4.490999999999999
68,4.2,4.177000000000001
69,4.7,4.422000000000001
70,4.1,4.276
71,3.9,4.037999999999999
72,3.9,3.8920000000000012
73,3.1,3.7560000000000002
74,4.2,4.197
75,4.6,4.596000000000005
76,3.9,4.331999999999999
77,4.2,4.177999999999994
78,4.3,4.421000000000001
79,3.8,4.009000000000003
80,4.7,4.619999999999994
81,4.6,4.596000000000007
82,3.7,3.8859999999999983
83,4.7,4.374999999999998
84,4.2,4.1859999999999955
85,4.0,4.003999999999998
86,4.1,4.093000000000006
87,4.2,4.1060000000000025
