,Actual,Predicted
0,3.1,3.6704237
1,3.9,3.775705
2,4.3,4.3798237
3,4.0,4.015775
4,4.2,3.954978
5,4.0,4.133965
6,4.1,4.194608
7,4.0,4.0143986
8,4.1,3.8892303
9,2.5,2.465004
10,4.3,3.8684049
11,4.0,3.7267673
12,4.3,4.0843663
13,2.9,3.6804118
14,4.0,4.1135874
15,2.5,2.4737427
16,2.5,2.5091121
17,3.8,4.069196
18,4.0,3.7483819
19,4.2,4.1069894
20,4.1,4.086126
21,4.3,4.0880117
22,4.1,4.0868845
23,3.7,3.9125233
24,4.1,4.28787
25,4.6,4.5888605
26,4.3,3.644719
27,3.8,3.9466958
28,3.7,3.8919425
29,3.5,4.0631447
30,3.7,3.8554945
31,5.0,3.8423495
32,4.2,4.1813593
33,4.0,4.1794467
34,4.1,4.242431
35,2.0,3.518027
36,4.3,4.1947517
37,4.1,4.0995917
38,4.4,4.35567
39,4.7,4.5903187
40,4.2,4.0939293
41,4.5,4.5474586
42,4.3,4.2370186
43,4.3,4.17423
44,4.1,4.0989175
45,4.1,4.0931544
46,4.1,4.0829134
47,4.4,4.115807
48,3.5,3.878002
49,4.0,4.3238993
50,3.9,3.6019027
51,4.0,4.1147013
52,2.5,2.5841374
53,4.6,4.5697803
54,4.0,4.423097
55,3.5,3.6389081
56,4.3,4.061241
57,4.2,3.89801
58,4.4,4.480651
59,4.7,4.522518
60,4.2,4.1328416
61,4.0,3.7750218
62,4.0,4.295446
63,3.9,4.1629467
64,4.0,4.02918
65,3.8,3.9506254
66,3.9,3.8924074
67,3.7,4.787675
68,4.2,4.1971307
69,4.7,4.3747854
70,4.1,4.240658
71,3.9,4.12508
72,3.9,3.9527347
73,3.1,3.4976413
74,4.2,4.2006207
75,4.6,4.56002
76,3.9,4.2344937
77,4.2,4.146742
78,4.3,4.3687735
79,3.8,3.9278343
80,4.7,4.7105145
81,4.6,4.5888605
82,3.7,3.8837597
83,4.7,4.2920856
84,4.2,4.1731224
85,4.0,4.03795
86,4.1,4.097806
87,4.2,4.1176167
