,Rating
265,4.7
405,2.5
31,3.9
84,3.6
299,4.7
173,4.4
94,3.8
227,4.5
428,3.7
152,4.1
354,4.7
272,4.7
418,2.5
5,4.0
45,4.3
148,4.1
427,2.5
376,3.9
275,3.3
16,4.1
403,2.5
117,4.6
312,4.2
3,4.3
18,4.1
168,3.9
60,3.8
408,3.8
355,4.1
63,2.4
110,4.4
277,4.5
349,4.2
29,3.9
140,4.2
211,4.7
229,4.1
26,4.2
7,4.0
176,4.3
396,4.0
108,4.3
317,4.1
407,4.2
118,4.5
114,4.5
141,4.4
209,4.7
323,3.6
333,3.5
198,4.3
329,3.7
388,1.0
320,4.2
294,3.1
180,4.3
199,3.7
109,4.5
430,2.6
145,4.1
237,4.0
380,3.9
397,2.5
83,3.8
406,2.5
172,4.4
74,3.0
357,3.4
386,3.9
119,4.5
316,3.9
327,4.0
193,4.3
247,4.2
281,4.2
195,4.4
338,4.7
335,3.8
222,4.7
36,4.2
139,4.3
392,3.3
184,4.2
239,4.4
253,4.7
59,4.5
111,4.6
196,4.4
208,4.7
6,4.1
383,3.6
301,3.8
158,4.1
150,4.1
177,4.4
10,4.1
231,4.1
103,4.1
81,3.8
249,4.7
274,3.9
167,5.0
409,4.8
415,3.7
321,4.2
356,3.9
210,4.3
194,4.1
89,3.6
412,5.0
163,4.0
204,4.7
147,4.2
2,3.8
92,3.9
69,2.7
381,3.7
123,4.6
322,4.2
96,3.9
143,4.3
331,5.0
262,4.7
97,3.8
358,4.1
68,4.1
23,4.2
37,3.9
144,4.3
122,4.6
393,3.1
202,4.5
182,4.3
67,4.2
416,2.5
266,4.7
365,3.8
390,3.9
261,3.4
346,3.9
238,4.7
125,4.6
146,4.1
334,3.5
374,4.0
223,4.7
228,4.3
86,3.6
367,4.0
219,4.1
248,4.7
368,3.8
244,4.8
285,3.8
425,2.5
183,4.4
246,4.7
310,4.2
255,5.0
364,3.5
129,4.6
38,4.3
11,4.0
296,4.3
185,4.4
297,3.9
379,3.9
112,4.6
179,4.3
268,3.7
351,4.0
286,3.9
420,3.6
314,4.1
233,3.7
271,4.4
164,4.2
136,4.2
197,4.2
258,4.0
232,4.2
115,4.6
120,4.5
224,4.2
352,4.2
414,3.7
127,4.5
361,3.9
107,4.0
324,4.7
133,4.6
318,3.3
44,4.3
401,2.5
65,2.5
85,3.6
242,4.4
186,4.1
159,4.2
12,3.8
35,4.1
28,4.0
170,4.4
142,4.3
434,4.1
298,4.1
221,4.5
95,4.2
51,5.0
240,5.0
336,4.7
332,4.3
178,4.4
41,4.1
377,3.9
206,4.7
282,3.8
254,5.0
362,4.1
4,4.1
256,4.7
391,2.3
100,3.9
226,4.1
373,4.1
213,4.1
171,4.2
98,3.8
292,4.0
215,4.2
61,3.7
47,4.3
32,3.7
267,4.7
200,4.1
389,4.0
27,3.6
341,4.2
230,4.1
260,4.7
288,3.9
162,3.9
371,4.1
138,3.4
62,4.0
135,4.2
128,4.6
8,4.1
326,3.8
64,4.3
300,3.8
14,4.1
156,4.2
40,4.3
400,2.5
353,4.0
216,3.9
279,4.3
378,3.5
337,4.7
236,3.8
207,4.7
212,4.2
295,4.4
398,2.5
251,4.1
426,2.5
399,2.5
303,4.7
350,4.2
269,4.3
201,4.3
161,4.1
43,4.3
217,4.2
190,4.2
309,4.2
259,4.1
105,4.2
53,3.8
1,4.3
421,2.5
49,3.7
80,4.1
205,4.7
34,3.9
263,4.7
366,3.1
91,3.8
339,4.2
52,4.3
345,4.1
264,4.7
241,4.7
13,3.8
315,4.1
88,4.1
273,3.8
166,3.9
328,4.0
429,2.5
134,4.5
306,4.2
419,2.5
319,4.2
243,4.3
54,4.3
363,3.9
50,4.3
174,4.3
189,4.3
433,2.5
187,3.8
169,3.8
58,4.7
48,4.5
344,4.2
235,4.3
252,4.6
21,4.1
313,3.9
160,3.9
276,4.5
191,4.2
385,3.9
293,4.0
413,3.7
343,4.3
257,4.5
308,4.1
149,4.2
130,4.6
151,4.0
359,3.8
99,3.5
372,3.8
87,3.9
330,3.8
214,4.1
121,4.3
435,4.1
20,4.0
188,4.2
71,4.1
106,4.1
270,4.5
348,4.4
102,4.2
