Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
noise,82990.0,89900.0,7.686318131,4.0,65.0,Wrb-sw-colorfitpro4alpha-std-rgld_pnk,Unknown,Unknown,Unknown,1,8.0,1,1.5,35 - 50 g
fire-boltt,3799.0,16999.0,77.65162657,4.3,20788.0,BSW046,Unknown,Unknown,Silicon,1,3.5,1,1.8,50 - 75 g
boat,1999.0,7990.0,74.98122653,3.8,21724.0,Wave Call,Unknown,Unknown,Silicon,1,8.0,1,1.7,35 - 50 g
fire-boltt,1799.0,19999.0,91.00455023,4.3,13244.0,BSW053,Unknown,Unknown,Silicon,1,3.5,1,1.8,75g +
noise,1599.0,4999.0,68.01360272,4.1,13901.0,Wrb-sw-colorfitpulsegobuzz-std-blk_blk,Unknown,Unknown,Other,1,8.0,1,1.7,35 - 50 g
noise,1499.0,3999.0,62.51562891,4.0,32704.0,NSW-05,Unknown,Unknown,Other,1,8.0,1,1.7,35 - 50 g
noise,1999.0,4999.0,60.0120024,4.1,1018.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.4,35 - 50 g
noise,1799.0,3999.0,55.01375344,4.0,32704.0,wrb-sw-colorfitgrand-std-rpnk_rpnk,Unknown,Unknown,Other,1,8.0,1,1.7,35 - 50 g
noise,1999.0,6499.0,69.24142176,4.1,39479.0,Wrb-sw-colorfitultrase-std-gld_brn,Unknown,Unknown,Other,1,8.0,1,1.8,35 - 50 g
noise,1999.0,5999.0,66.67777963,4.1,39479.0,Wrb-sw-colorfitultra-std-gry_blk,Unknown,Unknown,Other,1,8.0,1,1.8,35 - 50 g
noise,1999.0,5999.0,66.67777963,4.1,8765.0,Wrb-sw-colorfitpulse2max-std-blk_blk,Unknown,Unknown,Other,1,8.0,1,1.9,35 - 50 g
noise,1799.0,3999.0,55.01375344,4.0,32704.0,wrb-sw-colorfitgrand-std-grn_grn,Unknown,Unknown,Other,1,8.0,1,1.7,35 - 50 g
