Actual Values,Predicted Values
2.3,3.94
4.4,4.199999999999999
2.9,3.9799999999999995
4.7,4.08
3.9,4.18
4.0,4.18
4.1,4.34
4.5,4.26
3.6,4.1
4.3,4.36
4.0,4.040000000000001
4.1,4.1
4.3,4.4
4.2,4.08
4.3,4.3
4.3,4.0600000000000005
3.5,4.1
3.6,3.66
3.8,3.8200000000000003
4.3,4.24
3.9,4.459999999999999
3.7,3.62
3.8,3.9199999999999995
4.0,3.78
3.6,3.84
3.9,4.1
5.0,4.0
4.1,4.08
3.9,4.1
3.7,4.1
4.2,4.0600000000000005
4.3,4.16
4.2,4.08
4.1,3.96
3.4,3.8800000000000003
4.5,3.44
4.3,3.96
4.1,4.1
4.1,4.06
3.7,3.9200000000000004
4.1,4.1
3.8,4.02
4.2,4.08
4.0,4.04
4.2,4.14
4.1,4.18
3.7,3.44
4.8,4.2
4.1,4.0600000000000005
3.9,3.84
3.7,3.9200000000000004
4.3,4.18
4.7,4.7
3.7,3.78
4.2,4.14
4.7,4.4
4.3,4.0
3.7,3.9599999999999995
4.3,4.119999999999999
4.2,4.0600000000000005
4.2,4.14
4.1,4.18
2.7,3.04
3.7,3.9200000000000004
3.8,3.84
3.9,3.7800000000000002
4.1,4.18
4.3,4.16
4.4,4.459999999999999
3.1,3.8
