Actual values,Predicted Values
2.3,4.90856555168955
4.4,4.225541957854961
2.9,3.681054565977409
4.7,4.038974649637679
3.9,3.8526623463306873
4.0,4.126649972333157
4.1,4.01850707587959
4.5,4.2379094789696605
3.6,3.8953430673497045
4.3,4.171805548868387
4.0,4.048621419248591
4.1,3.9183612857164194
4.3,4.414367667602043
4.2,4.129978334791128
4.3,4.155239251694408
4.3,4.3300371116251055
3.5,4.0235050535167165
3.6,3.8211554948639512
3.8,3.8746600461529566
4.3,4.296677760266784
3.9,3.924476758557054
3.7,3.6710145859399694
3.8,3.8359063468619357
4.0,3.9850133674242567
3.6,3.8288387353040205
3.9,3.9608265698810503
5.0,4.035030104454522
4.1,4.071119869892983
3.9,3.985065671924163
3.7,4.593597112448458
4.2,4.141816312454958
4.3,4.135517588409575
4.2,4.024664810314187
4.1,3.940513191352565
3.4,3.9421903233525946
4.5,3.8169631709308645
4.3,4.4385864904845915
4.1,4.060457771741132
4.1,3.951369501272109
3.7,3.865149453723504
4.1,4.07755709165023
3.8,3.9287639315419276
4.2,4.140640432942979
4.0,4.060457771741132
4.2,4.182748284294477
4.1,4.155263090159136
3.7,3.7815552441547817
4.8,3.9319877472500515
4.1,4.014454193243325
3.9,4.032891310720102
3.7,3.8615503133335674
4.3,4.2022384786311235
4.7,4.829607302119109
3.7,3.8894383381359083
4.2,4.07719655552208
4.7,4.648879788324997
4.3,3.99622772541732
3.7,4.875718386385147
4.3,3.8296756686357387
4.2,4.108163936644078
4.2,4.475915492109138
4.1,4.031129103873677
2.7,3.0894406349311634
3.7,3.7681499512222
3.8,4.012578814043776
3.9,3.9964084807953504
4.1,4.2810409852241795
4.3,4.110426315649189
4.4,4.191687613789903
3.1,3.540293630563522
