Actual Values,Predicted Values
2.3,4.598000000000001
4.4,4.185999999999999
2.9,3.764000000000002
4.7,4.147999999999999
3.9,3.855999999999998
4.0,4.147
4.1,3.9630000000000014
4.5,4.230999999999999
3.6,3.7029999999999994
4.3,4.200999999999999
4.0,3.998
4.1,3.8390000000000013
4.3,4.348
4.2,4.168000000000001
4.3,4.174000000000005
4.3,4.345
3.5,3.997000000000001
3.6,3.701000000000004
3.8,3.788000000000005
4.3,4.195999999999999
3.9,3.907000000000001
3.7,3.3199999999999994
3.8,3.9300000000000033
4.0,4.0500000000000025
3.6,3.8530000000000006
3.9,3.936000000000005
5.0,4.182999999999998
4.1,4.089000000000006
3.9,4.001999999999998
3.7,4.639
4.2,4.169
4.3,4.203999999999999
4.2,4.176999999999995
4.1,3.792000000000001
3.4,3.9970000000000003
4.5,3.8790000000000013
4.3,4.401
4.1,4.098000000000006
4.1,3.8989999999999996
3.7,3.7449999999999957
4.1,4.121999999999999
3.8,3.9450000000000016
4.2,4.174000000000001
4.0,4.021000000000002
4.2,4.1789999999999985
4.1,4.167000000000001
3.7,3.6689999999999996
4.8,4.111000000000001
4.1,4.111000000000001
3.9,4.0699999999999985
3.7,3.778999999999995
4.3,4.149000000000001
4.7,4.648999999999994
3.7,3.8089999999999953
4.2,4.122000000000001
4.7,4.642999999999994
4.3,3.9970000000000017
3.7,4.8130000000000015
4.3,4.119000000000001
4.2,4.157999999999999
4.2,4.4119999999999955
4.1,4.037000000000003
2.7,3.491999999999999
3.7,3.7640000000000025
3.8,4.084000000000001
3.9,3.9529999999999994
4.1,4.298000000000003
4.3,3.868000000000001
4.4,4.111000000000002
3.1,3.481000000000002
