Actual,Predicted
2.3,5.0894704
4.4,4.277009
2.9,3.8979187
4.7,4.305886
3.9,3.9186006
4.0,4.143332
4.1,3.8761804
4.5,4.2581906
3.6,3.8256
4.3,4.1314635
4.0,4.019479
4.1,3.7545753
4.3,4.33725
4.2,4.211289
4.3,4.216429
4.3,4.366057
3.5,4.073437
3.6,3.7002761
3.8,3.787611
4.3,4.1569104
3.9,4.024042
3.7,3.18827
3.8,3.7574852
4.0,4.0101256
3.6,3.9890256
3.9,3.8618255
5.0,4.21881
4.1,4.074775
3.9,3.890238
3.7,4.91055
4.2,4.2186832
4.3,4.203152
4.2,4.1590185
4.1,3.728504
3.4,3.8569872
4.5,4.0639677
4.3,4.483729
4.1,4.0792704
4.1,3.844354
3.7,3.7669592
4.1,4.112943
3.8,3.918867
4.2,4.162867
4.0,4.0302267
4.2,4.2030706
4.1,4.2335763
3.7,3.9262714
4.8,4.014053
4.1,4.0989294
3.9,4.173085
3.7,3.7724361
4.3,4.241026
4.7,4.6750693
3.7,3.7540612
4.2,4.040012
4.7,4.6609974
4.3,3.8663392
3.7,5.0255923
4.3,4.004144
4.2,4.1362505
4.2,4.418994
4.1,4.0750194
2.7,2.5491624
3.7,3.8633919
3.8,4.0818253
3.9,3.9323432
4.1,4.2464647
4.3,3.6121147
4.4,3.9660118
3.1,3.3392575
