,Features,Linear Coefficient,Ridge Coefficient,Difference
0,Current Price,1.988040191024055e-06,0.030471394765551593,-0.030469406725360568
1,Original Price,2.0418050734387374e-06,0.031361392743614686,-0.031359350938541246
2,Discount Percentage,-4.291279300570228e-05,-0.01016209679223767,0.010119183999231968
3,Number OF Ratings,7.186710132664649e-07,0.028515397540870402,-0.028514678869857136
4,Battery Life (Days),0.0002658448677529974,0.002406653521639531,-0.0021408086538865336
5,Display Size,0.09315633102116622,0.04435591873185867,0.048800412289307545
6,rating_placeholder_flag,-1.669307587009797,-0.3673064046508659,-1.3020011823589313
7,reviews_placeholder_flag,0.2646917107249573,0.08762648603822618,0.1770652246867311
8,price_logic_flag,0.1282466177087883,0.04879005729150868,0.07945656041727964
9,Brand_ambrane,0.06957389810545964,0.009421366901736238,0.060152531203723394
10,Brand_apple,0.316458431390314,0.06990487188082523,0.24655355950948876
11,Brand_boat,-0.16128593912966768,-0.03548574865083447,-0.12580019047883323
12,Brand_crossbeats,0.13408105109381785,0.01267063736764812,0.12141041372616973
13,Brand_dizo,-0.1327668182033746,-0.029865522153232314,-0.10290129605014228
14,Brand_fire-boltt,-0.08369510006239941,-0.027508044255666934,-0.05618705580673248
15,Brand_fitbit,0.21811595029367994,0.052213708343961746,0.1659022419497182
16,Brand_fossil,-0.12964373697801945,-0.026535006956553607,-0.10310873002146584
17,Brand_garmin,0.2546081169400456,0.07868548713167364,0.17592262980837195
18,Brand_gizmore,-0.20551269705233322,-0.04298148116477215,-0.16253121588756106
19,Brand_hammer,-0.32488313412865705,-0.017097020832941182,-0.30778611329571587
20,Brand_honor,0.12349346585172907,0.022863996214600453,0.10062946963712863
21,Brand_huawei,0.19416329645435348,0.03584480765270097,0.1583184888016525
22,Brand_noise,-0.026140011830792745,-0.0063237543177053195,-0.019816257513087424
23,Brand_pebble,-0.16721117326604104,-0.04425189593097105,-0.12295927733506999
24,Brand_samsung,0.09481335767090143,0.025353408040655823,0.06945994963024561
25,Brand_zebronics,-0.4708461181362222,-0.1223451371993558,-0.3485009809368664
26,Dial Shape_Contemporary,-0.205016000030567,-0.01185834051957301,-0.19315765951099398
27,Dial Shape_Curved,-0.06264340888687381,-0.010903427085365609,-0.0517399818015082
28,Dial Shape_Missing,-0.1331711474270072,-0.031072851159876007,-0.10209829626713118
29,Dial Shape_Oval,-0.5943490896048778,-0.031619804042245556,-0.5627292855626322
